Date,Stock,liabilities,equity,total_assets,current_assets,current_liabilities,total_revenue,net_income,dividend,shares_outstanding,price
2006-07-31,Stock 1,625.8986861389762,925.0865178285919,1550.9852039675682,675.789905480422,555.931328526357,548.4884509087535,251.2825532302727,68.18403019245615,1040831,100.0
2006-08-31,Stock 1,407.3874671946948,903.2490933304664,1310.6365605251613,1023.1109834928915,1295.186240396926,513.4464316451276,207.57694013522234,42.232672482589514,1046649,101.9241693919547
2006-09-29,Stock 1,464.0698905297832,602.6688316521968,1066.73872218198,709.711673061284,598.7193384027654,503.51987099691644,133.71969984115273,28.835721650891145,1094158,103.16619123782047
2006-10-31,Stock 1,855.8549367021598,391.375369479102,1247.2303061812618,649.9795643963013,733.5943391719162,596.0063972892315,-76.88181822069241,0.0,1018574,104.47895602833228
2006-11-30,Stock 1,453.95496874390847,956.4905655088221,1410.4455342527306,1115.594551178705,1152.274710666603,965.9392474848978,-309.2043008935468,0.0,1036293,104.16090713570867
2006-12-29,Stock 1,917.5856349824409,190.63426047152717,1108.219895453968,690.4150152531867,621.4524179200154,651.7626307058339,310.8863229799003,75.47132172561398,1012960,103.1339227456486
2007-01-31,Stock 1,732.5906987077509,102.03917779552637,834.6298765032773,614.9978611882184,647.310393048358,633.4264552623034,-76.273527825171,0.0,1024094,103.7836240058026
2007-02-28,Stock 1,176.6958544556084,267.3337297681579,444.02958422376634,264.9287598223153,331.73640353021716,910.0398398938582,435.85794448175807,130.3026883152168,1049655,102.77181476308606
2007-03-30,Stock 1,351.96523564842266,191.34530129669457,543.3105369451173,232.58000329213849,263.6189795087336,337.1595856598443,3.160956982524524,0.815867004897019,1016395,104.50563003571096
2007-04-30,Stock 1,602.1379719299687,543.8145483619542,1145.9525202919228,773.720353789845,871.8029744922812,613.3201874653768,103.13614293523845,29.58868947282122,1005116,105.2078614441127
2007-05-31,Stock 1,361.79103016262644,298.9090860804797,660.7001162431061,512.1929949816675,643.9741656624317,602.9279512154287,-70.71388454173275,0.0,1032295,106.04885034601148
2007-06-29,Stock 1,884.9581743390314,683.3379681896448,1568.2961425286762,1230.4020577481397,1595.754464665594,186.27092602719895,2.5290177931367492,0.5834035514462311,1066045,105.56685951772326
2007-07-31,Stock 1,251.3802184993728,910.9019100687634,1162.2821285681362,707.9923395390064,804.9301826133815,904.23085001305,366.82266578558495,87.91420832119753,1031849,105.47279914433804
